Sea-Level Rise and Storm Surges: Potential Impact on Cities by 2100,,,,,
"Detailed results from Table 6, CGD Working Paper: ""Climate Change and the Future Impacts of Storm-Surge Disasters in Developing Countries"", by Susmita Dasgupta, Benoit Laplante, Siobhan Murray and David Wheeler",,,,,
Paper available at http://www.cgdev.org/content/publications/detail/1422836/,,,,,
See p. 14 of the paper for detailed discussion of the results below.,,,,,
Basic assumptions: 1 meter sea-level rise; 10% increase in the intensity of a 1-in-100-year storm; UN medium population projections,,,,,
Rank,Country,City,Increase by 2100 in Population Exposed to Storm Surges,Cumulative % of Total Increase in Exposed Population,Global City Population Rank in 2000
Rank,Country,City,Inc_Pop,Inc_Pct,Pop_Rank
161,Philippines,Ormoc,"15,880",96.7,293
162,Colombia,Santa Marta,"15,295",96.7,175
163,Bangladesh,Satkhira,"15,200",96.8,388
164,Tunisia,Sfax,"15,156",96.8,216
165,Viet Nam,Vinh,"14,951",96.9,390
166,Peru,Trujillo,"14,603",96.9,116
167,Venezuela,Cabimas,"13,994",97.0,240
168,"Korea, Rep",Gimhae,"13,841",97.0,257
169,Morocco,Mohammedia,"13,733",97.1,256
170,Jamaica,Kingston,"13,707",97.1,89
171,Indonesia,Padang,"13,640",97.2,111
172,Malaysia,Kota Kinabalu,"13,639",97.2,299
173,Philippines,Lucena,"13,634",97.3,250
174,Venezuela,Ciudad Ojeda,"13,603",97.3,377
175,Philippines,Pasay,"13,601",97.4,178
176,China,Ningbo,"13,489",97.4,76
177,Brazil,Joinville (Joinvile),"13,334",97.4,160
178,Malaysia,Tawau,"12,821",97.5,299
179,Malaysia,Sungai Petani,"12,369",97.5,273
180,Philippines,Surigao,"12,252",97.6,350
181,India,Visakhpatnam,"11,604",97.6,49
182,Tunisia,Susah,"11,514",97.7,298
183,"Korea, Rep",Seognam (Seongnam),"10,821",97.7,60
184,Chile,Concepcion (incl. San Pedro del la Paz),"10,790",97.7,173
185,Viet Nam,Hai Phong,"10,748",97.8,50
186,Chile,Valdivia,"10,631",97.8,340
187,Philippines,Iligan,"10,459",97.8,199
188,Myanmar,Mawlamyine,"10,335",97.9,177
189,Chile,Talcahuano,"10,319",97.9,207
190,Malaysia,George Town,"10,308",97.9,263
191,Thailand,Nakhon Si Thammarat,"10,153",98.0,349
192,Malaysia,Malacca,"10,014",98.0,262
193,Philippines,Legazpi,"9,861",98.0,291
194,"Iran, Islamic Rep",Bandar-e Abbas,"9,835",98.1,208
195,Indonesia,Talang,"9,637",98.1,324
196,Thailand,Phra Pradaeng,"9,471",98.1,279
197,Brazil,Itajai,"9,365",98.2,308
198,Argentina,Trelew,"9,362",98.2,387
199,Myanmar,Mergui,"9,353",98.2,305
200,Bangladesh,Noakhali,"9,309",98.3,378
201,Malaysia,Johor Baharu,"9,085",98.3,167
202,Mexico,Campeche,"8,976",98.3,254
203,Malaysia,Shah Alam,"8,797",98.4,189
